,target_gene,category,class,gene_descriptor,genomic_location_GRCh38,refseq_examples,similar_genes_functional,key_pathways,drug_associated_interactions,reference_gene,reference_gene_GenePTembedding,reference_description_GenePTembedding,target_name_GenePTembedding,target_description_GenePTembedding,reference_gene_description,target_gene_description
41,MYC,Gene-to-Gene interaction hubs,Interaction hub (transcription factor),Global regulator of proliferation and metabolism via E-box transcription; broadly dysregulated in cancer.,8q24.21,,"['MYCN', 'MYCL', 'MAX', 'MXD1']",,,MAX,"[-0.00814302 -0.01192634 -0.00980561 ... -0.01185245 -0.01125392
 -0.02506454]","[-0.05239242 -0.00561721 -0.02548997 ... -0.01099247 -0.01413785
 -0.01195374]","[-0.01787887 -0.02631487 -0.00856526 ... -0.00399349  0.0023301
 -0.01639577]","[-0.04821786 -0.02979015 -0.01801909 ... -0.01323421 -0.00964884
 -0.00450148]","Gene Symbol MAX The protein encoded by this gene is a member of the basic helix-loop-helix leucine zipper (bHLHZ) family of transcription factors. It is able to form homodimers and heterodimers with other family members, which include Mad, Mxi1 and Myc. Myc is an oncoprotein implicated in cell proliferation, differentiation and apoptosis. The homodimers and heterodimers compete for a common DNA target site (the E box) and rearrangement among these dimer forms provides a complex system of transcriptional regulation. Mutations of this gene have been reported to be associated with hereditary pheochromocytoma. A pseudogene of this gene is located on the long arm of chromosome 7. Alternative splicing results in multiple transcript variants.","Gene Symbol MYC This gene is a proto-oncogene and encodes a nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. The encoded protein forms a heterodimer with the related transcription factor MAX. This complex binds to the E box DNA consensus sequence and regulates the transcription of specific target genes. Amplification of this gene is frequently observed in numerous human cancers. Translocations involving this gene are associated with Burkitt lymphoma and multiple myeloma in human patients. There is evidence to show that translation initiates both from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site, resulting in the production of two isoforms with distinct N-termini."
42,MYC,Gene-to-Gene interaction hubs,Interaction hub (transcription factor),Global regulator of proliferation and metabolism via E-box transcription; broadly dysregulated in cancer.,8q24.21,,"['MYCN', 'MYCL', 'MAX', 'MXD1']",,,MXD1,"[-0.02109301 -0.00153636 -0.01426251 ... -0.01712303 -0.01225747
 -0.02692099]","[-0.03962741 -0.01072256 -0.00552902 ... -0.01385381 -0.0190901
 -0.00629868]","[-0.01787887 -0.02631487 -0.00856526 ... -0.00399349  0.0023301
 -0.01639577]","[-0.04821786 -0.02979015 -0.01801909 ... -0.01323421 -0.00964884
 -0.00450148]","Gene Symbol MXD1 This gene encodes a member of the MYC/MAX/MAD network of basic helix-loop-helix leucine zipper transcription factors. The MYC/MAX/MAD transcription factors mediate cellular proliferation, differentiation and apoptosis. The encoded protein antagonizes MYC-mediated transcriptional activation of target genes by competing for the binding partner MAX and recruiting repressor complexes containing histone deacetylases. Mutations in this gene may play a role in acute leukemia, and the encoded protein is a potential tumor suppressor. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.","Gene Symbol MYC This gene is a proto-oncogene and encodes a nuclear phosphoprotein that plays a role in cell cycle progression, apoptosis and cellular transformation. The encoded protein forms a heterodimer with the related transcription factor MAX. This complex binds to the E box DNA consensus sequence and regulates the transcription of specific target genes. Amplification of this gene is frequently observed in numerous human cancers. Translocations involving this gene are associated with Burkitt lymphoma and multiple myeloma in human patients. There is evidence to show that translation initiates both from an upstream, in-frame non-AUG (CUG) and a downstream AUG start site, resulting in the production of two isoforms with distinct N-termini."
43,SRC,Gene-to-Gene interaction hubs,Interaction hub (non-receptor tyrosine kinase),"Pleiotropic kinase activated downstream of many receptors; controls adhesion, migration, proliferation.",20q11.23,,"['YES1', 'FYN', 'LYN', 'ABL1', 'PTK2']",,,YES1,"[ 0.0095252  -0.01563074 -0.00998828 ... -0.01716959  0.0041036
 -0.03621999]","[-0.03127978 -0.0270792  -0.03083066 ... -0.01721181  0.00244869
 -0.01336788]","[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]","Gene Symbol YES1 This gene is the cellular homolog of the Yamaguchi sarcoma virus oncogene. The encoded protein has tyrosine kinase activity and belongs to the src family of proteins. This gene lies in close proximity to thymidylate synthase gene on chromosome 18, and a corresponding pseudogene has been found on chromosome 22.",Gene Symbol SRC This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene.
44,SRC,Gene-to-Gene interaction hubs,Interaction hub (non-receptor tyrosine kinase),"Pleiotropic kinase activated downstream of many receptors; controls adhesion, migration, proliferation.",20q11.23,,"['YES1', 'FYN', 'LYN', 'ABL1', 'PTK2']",,,FYN,"[ 0.00241069 -0.04063788 -0.02311192 ... -0.00603284  0.0092308
 -0.01892245]","[-0.03756614 -0.03454418 -0.02430597 ... -0.01621701 -0.00361789
 -0.00527867]","[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]",Gene Symbol FYN This gene is a member of the protein-tyrosine kinase oncogene family. It encodes a membrane-associated tyrosine kinase that has been implicated in the control of cell growth. The protein associates with the p85 subunit of phosphatidylinositol 3-kinase and interacts with the fyn-binding protein. Alternatively spliced transcript variants encoding distinct isoforms exist.,Gene Symbol SRC This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene.
45,SRC,Gene-to-Gene interaction hubs,Interaction hub (non-receptor tyrosine kinase),"Pleiotropic kinase activated downstream of many receptors; controls adhesion, migration, proliferation.",20q11.23,,"['YES1', 'FYN', 'LYN', 'ABL1', 'PTK2']",,,LYN,"[-0.01253645 -0.01225816 -0.00012569 ... -0.00851445 -0.02288632
 -0.01978534]","[-0.03283723 -0.00876044 -0.00913213 ... -0.01967414 -0.0170082
 -0.00758127]","[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]","Gene Symbol LYN This gene encodes a tyrosine protein kinase, which maybe involved in the regulation of mast cell degranulation, and erythroid differentiation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.",Gene Symbol SRC This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene.
46,SRC,Gene-to-Gene interaction hubs,Interaction hub (non-receptor tyrosine kinase),"Pleiotropic kinase activated downstream of many receptors; controls adhesion, migration, proliferation.",20q11.23,,"['YES1', 'FYN', 'LYN', 'ABL1', 'PTK2']",,,ABL1,"[-0.01001292 -0.00940502 -0.01544212 ... -0.0152325  -0.01164098
 -0.00320197]","[-0.03580018 -0.01684484 -0.02829621 ... -0.02694133 -0.02040141
  0.01093677]","[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]","Gene Symbol ABL1 This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes, including cell division, adhesion, differentiation, and response to stress. The activity of the protein is negatively regulated by its SH3 domain, whereby deletion of the region encoding this domain results in an oncogene. The ubiquitously expressed protein has DNA-binding activity that is regulated by CDC2-mediated phosphorylation, suggesting a cell cycle function. This gene has been found fused to a variety of translocation partner genes in various leukemias, most notably the t(9;22) translocation that results in a fusion with the 5' end of the breakpoint cluster region gene (BCR; MIM:151410). Alternative splicing of this gene results in two transcript variants, which contain alternative first exons that are spliced to the remaining common exons.",Gene Symbol SRC This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene.
47,SRC,Gene-to-Gene interaction hubs,Interaction hub (non-receptor tyrosine kinase),"Pleiotropic kinase activated downstream of many receptors; controls adhesion, migration, proliferation.",20q11.23,,"['YES1', 'FYN', 'LYN', 'ABL1', 'PTK2']",,,PTK2,"[-0.00884924 -0.01605117 -0.00940062 ...  0.00333548 -0.01583334
 -0.00349886]","[-0.03978599 -0.01066296 -0.02747067 ... -0.01723371 -0.02221664
 -0.00857167]","[ 0.00452893 -0.01708579 -0.00244435 ... -0.02858449 -0.01611228
 -0.00232443]","[-0.03037352 -0.0288403  -0.02278675 ... -0.00929842 -0.01664067
  0.01461841]",Gene Symbol PTK2 This gene encodes a cytoplasmic protein tyrosine kinase which is found concentrated in the focal adhesions that form between cells growing in the presence of extracellular matrix constituents. The encoded protein is a member of the FAK subfamily of protein tyrosine kinases but lacks significant sequence similarity to kinases from other subfamilies. Activation of this gene may be an important early step in cell growth and intracellular signal transduction pathways triggered in response to certain neural peptides or to cell interactions with the extracellular matrix. Several transcript variants encoding different isoforms have been found for this gene.,Gene Symbol SRC This gene is highly similar to the v-src gene of Rous sarcoma virus. This proto-oncogene may play a role in the regulation of embryonic development and cell growth. The protein encoded by this gene is a tyrosine-protein kinase whose activity can be inhibited by phosphorylation by c-SRC kinase. Mutations in this gene could be involved in the malignant progression of colon cancer. Two transcript variants encoding the same protein have been found for this gene.
48,TP53,Genome importance → disease,Disease gene (tumour suppressor),Transcription factor regulating DNA damage responses; most commonly mutated in cancer; ‘guardian of the genome’.,17p13.1,['NM_000546'],"['ATM', 'ATR', 'CHEK1', 'CHEK2', 'RB1', 'MDM2']","['ATM–CHK2–p53 (G1 checkpoint)', 'ATR–CHK1–WEE1 (S/G2)']","[{'mechanism': 'DDR synthetic lethality in TP53/ATM mutant settings', 'agents_examples': ['ATR inhibitors', 'CHK1 inhibitors', 'WEE1 inhibitors', 'PARP inhibitor combinations']}]",ATM,"[-0.04853241 -0.0195451   0.00486907 ... -0.00651045 -0.00061466
 -0.01493411]","[-0.04752329 -0.02873804 -0.01124249 ... -0.0092363  -0.01361344
 -0.00317701]","[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]","Gene Symbol ATM The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important cell cycle checkpoint kinase that phosphorylates; thus, it functions as a regulator of a wide variety of downstream proteins, including tumor suppressor proteins p53 and BRCA1, checkpoint kinase CHK2, checkpoint proteins RAD17 and RAD9, and DNA repair protein NBS1. This protein and the closely related kinase ATR are thought to be master controllers of cell cycle checkpoint signaling pathways that are required for cell response to DNA damage and for genome stability. Mutations in this gene are associated with ataxia telangiectasia, an autosomal recessive disorder.","Gene Symbol TP53 This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277)."
49,TP53,Genome importance → disease,Disease gene (tumour suppressor),Transcription factor regulating DNA damage responses; most commonly mutated in cancer; ‘guardian of the genome’.,17p13.1,['NM_000546'],"['ATM', 'ATR', 'CHEK1', 'CHEK2', 'RB1', 'MDM2']","['ATM–CHK2–p53 (G1 checkpoint)', 'ATR–CHK1–WEE1 (S/G2)']","[{'mechanism': 'DDR synthetic lethality in TP53/ATM mutant settings', 'agents_examples': ['ATR inhibitors', 'CHK1 inhibitors', 'WEE1 inhibitors', 'PARP inhibitor combinations']}]",ATR,"[-0.04369815 -0.01790196 -0.01034367 ...  0.00281337 -0.00236897
 -0.01406683]","[-4.75202464e-02 -6.44842675e-03 -2.08999868e-02 ... -8.13843290e-05
 -7.83913583e-03 -1.61128666e-03]","[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]","Gene Symbol ATR The protein encoded by this gene is a serine/threonine kinase and DNA damage sensor, activating cell cycle checkpoint signaling upon DNA stress. The encoded protein can phosphorylate and activate several proteins involved in the inhibition of DNA replication and mitosis, and can promote DNA repair, recombination, and apoptosis. This protein is also important for fragile site stability and centrosome duplication. Defects in this gene are a cause of Seckel syndrome 1.","Gene Symbol TP53 This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277)."
50,TP53,Genome importance → disease,Disease gene (tumour suppressor),Transcription factor regulating DNA damage responses; most commonly mutated in cancer; ‘guardian of the genome’.,17p13.1,['NM_000546'],"['ATM', 'ATR', 'CHEK1', 'CHEK2', 'RB1', 'MDM2']","['ATM–CHK2–p53 (G1 checkpoint)', 'ATR–CHK1–WEE1 (S/G2)']","[{'mechanism': 'DDR synthetic lethality in TP53/ATM mutant settings', 'agents_examples': ['ATR inhibitors', 'CHK1 inhibitors', 'WEE1 inhibitors', 'PARP inhibitor combinations']}]",CHEK1,"[-0.01294401 -0.00150974 -0.00892032 ...  0.00016442  0.01303267
 -0.01344868]","[-0.03777657 -0.01354403 -0.0226345  ... -0.00270488  0.00155301
 -0.00112976]","[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]","Gene Symbol CHEK1 The protein encoded by this gene belongs to the Ser/Thr protein kinase family. It is required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. This protein acts to integrate signals from ATM and ATR, two cell cycle proteins involved in DNA damage responses, that also associate with chromatin in meiotic prophase I. Phosphorylation of CDC25A protein phosphatase by this protein is required for cells to delay cell cycle progression in response to double-strand DNA breaks. Several alternatively spliced transcript variants have been found for this gene.","Gene Symbol TP53 This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277)."
51,TP53,Genome importance → disease,Disease gene (tumour suppressor),Transcription factor regulating DNA damage responses; most commonly mutated in cancer; ‘guardian of the genome’.,17p13.1,['NM_000546'],"['ATM', 'ATR', 'CHEK1', 'CHEK2', 'RB1', 'MDM2']","['ATM–CHK2–p53 (G1 checkpoint)', 'ATR–CHK1–WEE1 (S/G2)']","[{'mechanism': 'DDR synthetic lethality in TP53/ATM mutant settings', 'agents_examples': ['ATR inhibitors', 'CHK1 inhibitors', 'WEE1 inhibitors', 'PARP inhibitor combinations']}]",RB1,"[ 0.00311515 -0.02168613 -0.00703908 ... -0.0373133  -0.01906789
  0.01084306]","[-0.04077324 -0.02084519 -0.02328215 ... -0.00445794 -0.01548649
  0.02020319]","[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]","Gene Symbol RB1 The protein encoded by this gene is a negative regulator of the cell cycle and was the first tumor suppressor gene found. The encoded protein also stabilizes constitutive heterochromatin to maintain the overall chromatin structure. The active, hypophosphorylated form of the protein binds transcription factor E2F1. Defects in this gene are a cause of childhood cancer retinoblastoma (RB), bladder cancer, and osteogenic sarcoma.","Gene Symbol TP53 This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277)."
52,TP53,Genome importance → disease,Disease gene (tumour suppressor),Transcription factor regulating DNA damage responses; most commonly mutated in cancer; ‘guardian of the genome’.,17p13.1,['NM_000546'],"['ATM', 'ATR', 'CHEK1', 'CHEK2', 'RB1', 'MDM2']","['ATM–CHK2–p53 (G1 checkpoint)', 'ATR–CHK1–WEE1 (S/G2)']","[{'mechanism': 'DDR synthetic lethality in TP53/ATM mutant settings', 'agents_examples': ['ATR inhibitors', 'CHK1 inhibitors', 'WEE1 inhibitors', 'PARP inhibitor combinations']}]",MDM2,"[-0.03213239 -0.00696202 -0.02662972 ... -0.00901715 -0.02466161
  0.00481316]","[-0.05069543 -0.00847743 -0.01754041 ... -0.00760562 -0.01202975
 -0.00141345]","[-0.02812712 -0.02880741  0.00575625 ... -0.00070563 -0.00561561
 -0.00297297]","[-0.03157945 -0.02399986 -0.00518603 ... -0.00146943 -0.0165361
  0.00477745]","Gene Symbol MDM2 This gene encodes a nuclear-localized E3 ubiquitin ligase. The encoded protein can promote tumor formation by targeting tumor suppressor proteins, such as p53, for proteasomal degradation. This gene is itself transcriptionally-regulated by p53. Overexpression or amplification of this locus is detected in a variety of different cancers. There is a pseudogene for this gene on chromosome 2. Alternative splicing results in a multitude of transcript variants, many of which may be expressed only in tumor cells.","Gene Symbol TP53 This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277)."
53,VKORC1,Gene-to-Drug interactions,Gene-to-Drugs (pharmacogene/target),Vitamin K epoxide reductase; pharmacodynamic target of warfarin.,16p11.2,,,,"[{'drug_name': 'Warfarin', 'mechanism': 'Inhibits VKORC1'}]",,,,,,No Description,"Gene Symbol VKORC1 This gene encodes the catalytic subunit of the vitamin K epoxide reductase complex, which is responsible for the reduction of inactive vitamin K 2,3-epoxide to active vitamin K in the endoplasmic reticulum membrane. Vitamin K is a required co-factor for carboxylation of glutamic acid residues by vitamin K-dependent gamma-carboxylase in blood-clotting enzymes. Allelic variation in this gene is associated with vitamin k-dependent clotting factors combined deficiency of 2, and increased resistance or sensitivity to warfarin, an inhibitor of vitamin K epoxide reductase. Pseudogenes of this gene are located on chromosomes 1 and X. Alternative splicing results in multiple transcript variants."
54,,,,,,,,,,LRCH2,"[-0.00559843  0.01799037 -0.01999678 ... -0.01289355 -0.00113618
  0.00468275]","[-0.01877975  0.01076336 -0.00505812 ... -0.01517435 -0.00214607
 -0.00631934]",,,"Gene Symbol LRCH2 This gene encodes a member of the leucine-rich repeat and calponin homology domain-containing protein family. These family members contain multiple N-terminal leucine-rich repeats, in addition to a C-terminal calponin homology domain, a type of domain that mediates interactions with actin filaments. These proteins are conserved across animal species, and studies of a similar Drosophila protein indicate a function as a cytoskeletal scaffolding protein. Alternative splicing of this gene results in multiple transcript variants.",No Description
55,,,,,,,,,,MIR941-2,"[-0.02464362 -0.01088561  0.00221974 ... -0.01551635 -0.01467074
 -0.01779817]","[-0.05989604 -0.02974113  0.00669822 ... -0.01943518 -0.0189826
 -0.0201981 ]",,,"Gene Symbol MIR941-2 microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primary transcripts (pri-miRNAs) that can be either protein-coding or non-coding. The primary transcript is cleaved by the Drosha ribonuclease III enzyme to produce an approximately 70-nt stem-loop precursor miRNA (pre-miRNA), which is further cleaved by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star (miRNA*) products. The mature miRNA is incorporated into a RNA-induced silencing complex (RISC), which recognizes target mRNAs through imperfect base pairing with the miRNA and most commonly results in translational inhibition or destabilization of the target mRNA. The RefSeq represents the predicted microRNA stem-loop.",No Description
56,,,,,,,,,,ZNF736P11Y,"[-0.03585524 -0.0110344   0.00938317 ... -0.01752136 -0.00978287
 -0.024716  ]","[-0.03367648 -0.01260931  0.0211511  ... -0.02081537 -0.01735475
 -0.02675524]",,,Gene Symbol ZNF736P11Y,No Description
57,,,,,,,,,,FBXL12P1,"[-0.0037243   0.00436511 -0.02982193 ...  0.00398958 -0.0023841
 -0.02211839]","[-0.024817   -0.00480222 -0.01527917 ... -0.00632081  0.00119306
 -0.02613578]",,,Gene Symbol FBXL12P1,No Description
58,,,,,,,,,,MT1HL1,"[-0.01943573  0.00609477 -0.01106176 ... -0.0151542   0.00225895
 -0.00720567]","[-0.03299979  0.0003721  -0.02235931 ... -0.01621407 -0.01484991
 -0.01116017]",,,"Gene Symbol MT1HL1 This gene is a retrotransposed gene, compared to MT1H (GeneID:4496). This retrogene is transcribed. It retains a full-length CDS, and is assumed to be translated. Compared to the MT1H product, this protein product differs at three internal amino acids, two of which are at metal-binding sites.",No Description
59,,,,,,,,,,PIK3CB,"[-0.02481334 -0.03363762  0.00418824 ...  0.0025271  -0.00536042
  0.00209247]","[-3.23245116e-02 -4.00342382e-02 -4.59766202e-03 ... -1.84418764e-02
 -8.39489512e-03  6.29837305e-05]",,,Gene Symbol PIK3CB This gene encodes an isoform of the catalytic subunit of phosphoinositide 3-kinase (PI3K). These kinases are important in signaling pathways involving receptors on the outer membrane of eukaryotic cells and are named for their catalytic subunit. The encoded protein is the catalytic subunit for PI3Kbeta (PI3KB). PI3KB has been shown to be part of the activation pathway in neutrophils which have bound immune complexes at sites of injury or infection. Alternative splicing results in multiple transcript variants.,No Description
60,,,,,,,,,,THY1-AS1,"[-0.01446794 -0.01690219  0.00360667 ... -0.02072546 -0.00675606
 -0.01482551]","[-0.03514731 -0.02085516  0.00745796 ... -0.02538417 -0.01431928
 -0.01378366]",,,Gene Symbol THY1-AS1,No Description
61,,,,,,,,,,GPR27,"[-0.01719406  0.00348339  0.01053336 ... -0.01773969 -0.01190409
  0.00111123]","[-0.01914502 -0.01414775  0.01586263 ... -0.02057855 -0.01685405
 -0.00064141]",,,Gene Symbol GPR27,No Description
62,,,,,,,,,,MIR586,"[-0.01968605 -0.01618421 -0.00348833 ... -0.0164411  -0.01193873
 -0.00702397]","[-0.05902756 -0.02636738  0.00462859 ... -0.02250588 -0.01495192
 -0.02023059]",,,"Gene Symbol MIR586 microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primary transcripts (pri-miRNAs) that can be either protein-coding or non-coding. The primary transcript is cleaved by the Drosha ribonuclease III enzyme to produce an approximately 70-nt stem-loop precursor miRNA (pre-miRNA), which is further cleaved by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star (miRNA*) products. The mature miRNA is incorporated into a RNA-induced silencing complex (RISC), which recognizes target mRNAs through imperfect base pairing with the miRNA and most commonly results in translational inhibition or destabilization of the target mRNA. The RefSeq represents the predicted microRNA stem-loop.",No Description
63,,,,,,,,,,RNU6-1056P,"[ 0.00553486 -0.02030895 -0.00372108 ... -0.02093692  0.0109361
 -0.00713486]","[-0.01114391 -0.02841964  0.002686   ... -0.01590274  0.00015423
 -0.00879783]",,,Gene Symbol RNU6-1056P,No Description
64,,,,,,,,,,SLC35F5,"[-0.01453119  0.0235228   0.00593186 ... -0.00540315  0.01679615
 -0.02348186]","[-0.0173952   0.0065119  -0.00676049 ... -0.01406338  0.01241684
 -0.01350807]",,,Gene Symbol SLC35F5 Predicted to be integral component of membrane.,No Description
65,,,,,,,,,,HSD17B7,"[-0.02724096  0.00655376 -0.01429543 ... -0.03031874  0.01223684
 -0.02335325]","[-0.01946141 -0.00671186 -0.00382918 ... -0.0380992   0.00354357
 -0.01339051]",,,Gene Symbol HSD17B7,No Description
66,,,,,,,,,,DOP1B,"[-0.0246556  -0.00662343 -0.02704653 ... -0.01410372 -0.00908692
 -0.00364513]","[-0.01772123 -0.00056517  0.00100105 ... -0.01785134 -0.00091566
 -0.02442199]",,,Gene Symbol DOP1B Involved in cognition. Located in early endosome membrane.,No Description
67,,,,,,,,,,FOXK2,"[-0.01650994  0.00421779 -0.00957282 ... -0.00608754 -0.00024584
 -0.02144687]","[-0.02931284 -0.00382412 -0.01487849 ... -0.00979054 -0.00532961
 -0.00323793]",,,"Gene Symbol FOXK2 The protein encoded by this gene contains a fork head DNA binding domain. This protein can bind to the purine-rich motifs of the HIV long terminal repeat (LTR), and to the similar purine-rich motif in the interleukin 2 (IL2) promoter. It may be involved in the regulation of viral and cellular promoter elements.",No Description
68,,,,,,,,,,POLR2D,"[-0.0355789   0.00348968 -0.01222939 ... -0.00919788 -0.01900205
 -0.00336911]","[-0.03581351 -0.02370438 -0.02680084 ... -0.01073878 -0.00845267
 -0.00590633]",,,"Gene Symbol POLR2D This gene encodes the fourth largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes. In yeast, this polymerase subunit is associated with the polymerase under suboptimal growth conditions and may have a stress protective role. A sequence for a ribosomal pseudogene is contained within the 3' untranslated region of the transcript from this gene.",No Description
69,,,,,,,,,,LINC01427,"[-0.03404431 -0.01114546  0.02294461 ... -0.02140189 -0.00790968
 -0.01498263]","[-0.03860663 -0.02218712  0.01903052 ... -0.02334324 -0.01697808
 -0.01731583]",,,Gene Symbol LINC01427,No Description
70,,,,,,,,,,OR2AQ1P,"[ 0.004206   -0.00792078 -0.01679669 ... -0.01822939 -0.00746368
 -0.01945742]","[-0.01680901  0.01138399 -0.01748137 ... -0.01051387 -0.0089714
 -0.00552061]",,,"Gene Symbol OR2AQ1P Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.",No Description
